,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
13,2004-03-11,07:00:00,1.1,1144.0,29,3.24361814731,667.0,98.0,1489.75,82.0,1339.0,729.75,10.2000000477,59.5999994278,0.741736162856
14,2004-03-11,08:00:00,2.0,1333.25,64,8.01377298709,899.75,174.0,1136.0,112.0,1517.0,1101.5,10.75,57.4250001907,0.74079457574
15,2004-03-11,09:00:00,2.2,1351.0,87,9.54064292532,960.25,129.0,1079.0,101.0,1582.75,1027.75,10.5,60.5999984741,0.769110792758
16,2004-03-11,10:00:00,1.7,1233.25,77,6.33578243722,827.25,112.0,1218.0,98.0,1445.75,859.75,10.7999999523,58.3500003815,0.755183082652
17,2004-03-11,11:00:00,1.5,1178.75,43,4.97158376146,762.0,95.0,1327.5,92.0,1361.75,670.5,10.4999997616,57.9250001907,0.735160779632
18,2004-03-11,12:00:00,1.6,1236.0,61,5.21691899988,774.25,104.0,1301.25,95.0,1401.25,664.0,9.52499985695,66.7749986649,0.795053788514
19,2004-03-11,13:00:00,1.9,1285.5,63,7.26993335754,868.5,146.0,1162.25,112.0,1536.75,799.0,8.29999983311,76.4250011444,0.83926806775
20,2004-03-11,14:00:00,2.9,1371.0,164,11.5390072136,1033.5,207.0,983.25,128.0,1730.25,1036.5,8.0,81.1499996185,0.873588533619
21,2004-03-11,15:00:00,2.2,1310.0,79,8.82622272646,932.5,184.0,1081.75,126.0,1646.5,946.25,8.32500016689,79.7999992371,0.877784445098
22,2004-03-11,16:00:00,2.2,1291.75,95,8.30141341676,911.5,193.0,1102.5,131.0,1590.75,956.75,9.70000004768,71.1500015259,0.856938127944
23,2004-03-11,17:00:00,2.9,1383.0,150,11.1515812161,1019.75,243.0,1008.0,135.0,1718.75,1104.0,9.77500009537,67.6249980927,0.818501207475
24,2004-03-11,18:00:00,4.8,1580.75,307,20.7992168615,1318.5,281.0,798.5,151.0,2083.0,1408.5,10.3499999046,64.1749992371,0.806543633174
25,2004-03-11,19:00:00,6.9,1775.5,461,27.3598074936,1487.75,383.0,702.25,172.0,2332.5,1704.0,9.65000009537,69.3000011444,0.83192114441
26,2004-03-11,20:00:00,6.1,1640.0,401,24.0177569359,1404.0,351.0,742.75,165.0,2191.25,1653.75,9.64999985695,67.75,0.813313935363
27,2004-03-11,21:00:00,3.9,1312.75,197,12.7793682488,1076.25,240.0,957.25,136.0,1706.5,1284.75,9.125,63.9749994278,0.741924224489
28,2004-03-11,22:00:00,1.5,964.5,61,4.70707191924,748.5,94.0,1325.25,85.0,1332.5,821.0,8.17500019073,63.3999996185,0.690484446641
29,2004-03-11,23:00:00,1.0,912.75,26,2.64572150961,629.25,47.0,1564.5,53.0,1252.25,551.75,8.24999988079,60.8249988556,0.665744360406
30,2004-03-12,00:00:00,1.7,1080.25,55,5.85480151426,805.0,122.0,1253.5,97.0,1375.0,815.5,8.3250002861,58.5250005722,0.643763609633
31,2004-03-12,01:00:00,1.9,1043.75,53,6.37429750967,829.0,133.0,1247.25,110.0,1378.25,831.5,7.72500014305,59.6749992371,0.630766060274
32,2004-03-12,02:00:00,1.4,987.75,40,4.1323417951,718.0,82.0,1395.5,91.0,1303.5,691.5,7.125,61.7999992371,0.627597368787
33,2004-03-12,03:00:00,0.8,888.75,21,1.86944463514,574.25,-200.0,1680.25,-200.0,1187.0,512.0,6.97500002384,62.2749996185,0.62610752781
34,2004-03-12,04:00:00,-200.0,831.0,10,1.06829261164,505.75,21.0,1892.75,32.0,1133.75,384.0,6.10000002384,65.9000015259,0.624753631972
35,2004-03-12,05:00:00,0.6,847.25,7,1.02241459898,501.25,30.0,1894.5,44.0,1154.75,394.0,6.27499997616,64.9750003815,0.623282321102
36,2004-03-12,06:00:00,0.8,927.0,17,1.83043122583,571.25,56.0,1684.75,71.0,1222.75,486.5,6.75,62.9499998093,0.623427539214
37,2004-03-12,07:00:00,1.4,1090.5,33,4.35934099686,730.25,109.0,1387.0,104.0,1360.75,748.25,6.44999992847,65.0750017166,0.631628114439
38,2004-03-12,08:00:00,4.4,1587.0,202,17.8655867048,1235.5,307.0,896.5,141.0,1900.25,1400.25,7.32500004768,63.1499996185,0.649933139307
39,2004-03-12,09:00:00,-200.0,1544.5,-200,22.0741620632,1353.0,-200.0,767.25,-200.0,2058.0,1587.75,9.22500002384,56.1999988556,0.656065118917
40,2004-03-12,10:00:00,3.1,1350.25,208,14.0270113668,1117.5,187.0,912.0,122.0,1711.75,1237.0,13.2249999046,41.7499990463,0.631950130994
41,2004-03-12,11:00:00,2.7,1262.75,166,11.6456465597,1037.25,216.0,969.0,143.0,1598.25,1166.5,14.3250000477,38.4499998093,0.624304294215
42,2004-03-12,12:00:00,2.1,1206.25,114,10.224662144,986.0,143.0,1034.5,113.0,1537.0,959.0,15.0250000954,36.5,0.619532322606
43,2004-03-12,13:00:00,2.5,1251.5,140,11.0399360393,1015.75,160.0,1007.5,116.0,1592.75,983.0,16.1000001431,34.4749994278,0.626164740157
44,2004-03-12,14:00:00,2.7,1287.0,169,12.8164461964,1077.5,163.0,948.75,123.0,1660.25,1060.75,16.2750005722,35.7250003815,0.656030611963
45,2004-03-12,15:00:00,2.9,1352.75,185,14.1738511779,1122.25,190.0,921.75,126.0,1740.0,1139.25,15.8250000477,37.0249996185,0.660961139503
46,2004-03-12,16:00:00,2.8,1309.0,165,12.6905681034,1073.25,178.0,954.0,120.0,1657.25,1112.25,15.8749997616,37.1750001907,0.665728525091
47,2004-03-12,17:00:00,2.4,1274.0,133,11.7384054163,1040.5,150.0,1005.75,119.0,1609.75,993.75,16.8750002384,34.3499994278,0.654908514327
48,2004-03-12,18:00:00,3.9,1509.5,233,19.2909748863,1276.5,206.0,812.25,149.0,1909.75,1409.5,15.1499998569,39.5500001907,0.676626507809
49,2004-03-12,19:00:00,3.7,1525.25,242,18.2261782917,1246.0,202.0,821.0,145.0,1846.75,1447.75,14.3999998569,43.4250001907,0.708449759818
50,2004-03-12,20:00:00,6.6,1843.0,488,32.5562783471,1609.75,340.0,624.0,170.0,2390.25,1886.5,12.875,50.5250005722,0.747803218851
51,2004-03-12,21:00:00,4.4,1597.75,333,20.0929435645,1299.0,274.0,752.0,149.0,1940.5,1626.75,12.1499998569,53.3499994278,0.753620222783
52,2004-03-12,22:00:00,3.5,1483.5,215,14.3213424226,1127.0,253.0,839.0,139.0,1723.0,1491.0,10.9750001431,59.1250009537,0.773980003386
53,2004-03-12,23:00:00,5.4,1677.25,367,21.8128650694,1346.0,300.0,740.5,134.0,2062.0,1657.0,9.67499995232,64.6249990463,0.777073942547
54,2004-03-13,00:00:00,2.7,1279.5,122,9.63899981452,964.0,193.0,962.5,113.0,1543.5,1285.25,9.4500002861,64.125,0.759746528236
55,2004-03-13,01:00:00,1.9,1196.25,67,7.37513946755,873.0,139.0,1071.25,97.0,1463.25,1144.25,9.14999985695,63.9000015259,0.742276412923
56,2004-03-13,02:00:00,1.6,1183.75,43,5.36960416969,781.75,83.0,1176.25,82.0,1364.5,1042.75,8.79999995232,63.9249982834,0.725615371265
57,2004-03-13,03:00:00,1.7,1171.75,46,5.39010393954,782.75,-200.0,1178.5,-200.0,1379.75,995.5,7.80000007153,67.5249996185,0.717312114894
58,2004-03-13,04:00:00,-200.0,1147.0,56,6.1990419633,821.0,109.0,1132.25,83.0,1411.75,991.5,7.0,71.0750007629,0.715778469304
59,2004-03-13,05:00:00,1.0,978.25,30,2.57793219938,624.75,62.0,1420.25,65.0,1274.25,819.25,8.29999995232,63.5749998093,0.698154620476
60,2004-03-13,06:00:00,1.2,1099.5,27,2.90854800942,646.25,53.0,1406.25,60.0,1267.5,835.0,7.20000004768,67.4750003815,0.688672147084
61,2004-03-13,07:00:00,1.5,1112.25,47,5.13625582872,770.25,139.0,1228.0,77.0,1408.5,939.75,6.34999990463,71.8999996185,0.693198558734
62,2004-03-13,08:00:00,2.7,1335.5,132,11.817138601,1043.25,256.0,935.25,96.0,1678.0,1191.75,6.45000016689,71.5500011444,0.694475479718
63,2004-03-13,09:00:00,3.7,1408.33333333,239,15.1401611984,1153.0,295.0,830.333333333,119.0,1776.66666667,1411.0,9.56666660309,59.6666679382,0.712366561199
64,2004-03-13,10:00:00,3.2,1447.0,160,12.9130630959,1080.75,250.0,868.5,126.0,1666.75,1465.0,12.375,51.1750001907,0.733458385064
65,2004-03-13,11:00:00,4.1,1541.5,283,16.1335088449,1183.75,296.0,808.25,158.0,1779.75,1582.5,15.6499998569,42.1999998093,0.745093757777
66,2004-03-13,12:00:00,3.6,1451.25,210,14.0193010198,1117.25,239.0,875.25,161.0,1679.25,1387.25,18.4000000954,33.8249998093,0.708963570176
67,2004-03-13,13:00:00,2.8,1328.25,154,12.2796640772,1059.25,153.0,986.5,124.0,1599.5,1100.5,19.3500003815,31.2750000954,0.695008104753
68,2004-03-13,14:00:00,2.0,1206.5,112,8.61841257653,924.25,118.0,1087.75,102.0,1488.25,849.75,18.0249996185,34.8000001907,0.712673874194
69,2004-03-13,15:00:00,2.0,1239.5,108,9.19656674024,947.0,119.0,1049.0,116.0,1531.75,947.0,18.375,33.6499996185,0.70420702081
70,2004-03-13,16:00:00,2.5,1306.0,111,10.2448870843,986.75,138.0,1004.0,124.0,1554.0,1078.0,17.625,35.1000003815,0.701203250936
71,2004-03-13,17:00:00,2.3,1326.0,97,10.6118444605,1000.25,148.0,975.5,125.0,1601.5,1083.75,16.6750001907,37.7999992371,0.711736403844
72,2004-03-13,18:00:00,3.2,1472.75,191,15.4522099649,1162.75,227.0,830.5,148.0,1779.0,1394.75,16.0999999046,41.0249996185,0.745131494359
73,2004-03-13,19:00:00,4.2,1609.0,258,19.6367846639,1286.25,277.0,757.5,165.0,1922.0,1611.5,15.8250000477,42.4000005722,0.756914327668
74,2004-03-13,20:00:00,4.2,1610.75,284,19.2027279162,1274.0,279.0,754.25,161.0,1915.0,1697.25,15.6500000954,44.1000003815,0.778640655071
75,2004-03-13,21:00:00,4.2,1620.5,269,18.2693103571,1247.25,283.0,762.0,159.0,1860.0,1885.5,15.3250000477,46.7750005722,0.809124428577
76,2004-03-13,22:00:00,3.1,1444.25,180,13.1447043019,1088.5,214.0,844.0,143.0,1747.5,1623.75,14.6499998569,48.625,0.805969414107
77,2004-03-13,23:00:00,2.6,1418.0,116,10.8733671544,1009.75,172.0,892.0,130.0,1603.0,1536.25,14.7000002861,49.2750005722,0.81933612442
78,2004-03-14,00:00:00,2.9,1533.5,93,10.9634579591,1013.0,190.0,888.5,129.0,1610.75,1534.75,13.9499998093,53.6000003815,0.849771720433
79,2004-03-14,01:00:00,2.8,1483.5,131,11.8601785185,1044.75,174.0,879.75,119.0,1624.25,1529.75,14.6499998569,51.5,0.853623132679
80,2004-03-14,02:00:00,2.5,1366.75,92,8.62467882306,924.5,128.0,952.5,104.0,1543.0,1337.0,12.5499999523,58.9000005722,0.853740073879
81,2004-03-14,03:00:00,2.4,1344.0,132,9.73778645667,967.75,-200.0,920.5,-200.0,1619.75,1278.25,11.6499998569,63.4250001907,0.867449231574
82,2004-03-14,04:00:00,-200.0,1129.5,56,5.1916542032,773.0,70.0,1130.25,82.0,1451.75,1050.5,12.0999999046,61.1000013351,0.860316213167
83,2004-03-14,05:00:00,1.2,1062.0,32,3.65042314632,691.0,53.0,1271.5,70.0,1376.75,929.0,11.4750001431,63.1000003815,0.853275383438
84,2004-03-14,06:00:00,1.0,1075.75,29,2.48134193464,618.25,44.0,1395.25,63.0,1333.0,872.25,11.5999999046,62.1500005722,0.84726362591
85,2004-03-14,07:00:00,0.9,1028.25,27,2.42998440228,614.75,74.0,1383.5,67.0,1340.0,853.0,10.3999998569,67.6499986649,0.852998730293
86,2004-03-14,08:00:00,1.4,1154.5,36,4.21051013605,722.25,101.0,1224.75,84.0,1413.75,959.25,11.5749998093,62.6749992371,0.853038223009
87,2004-03-14,09:00:00,1.6,1235.25,57,6.35227671107,828.0,118.0,1055.25,83.0,1527.0,1093.25,12.4249999523,60.0,0.86271512733
88,2004-03-14,10:00:00,2.2,1331.5,129,8.58711047461,923.0,144.0,951.75,98.0,1613.75,1225.0,14.5250000954,53.0749998093,0.872781622355
89,2004-03-14,11:00:00,2.8,1444.75,148,10.8595351669,1009.25,176.0,878.25,114.0,1696.0,1355.25,16.8750004768,46.0999994278,0.878931094267
90,2004-03-14,12:00:00,2.8,1415.5,145,10.6598156627,1002.0,161.0,906.75,119.0,1676.5,1261.5,19.3000001907,38.25,0.847404802141
91,2004-03-14,13:00:00,2.0,1281.25,93,7.54007245617,880.0,113.0,1083.75,104.0,1525.0,980.0,21.1749997139,31.4499998093,0.7811957165
92,2004-03-14,14:00:00,1.8,1207.25,84,7.50459879504,878.5,103.0,1103.5,102.0,1489.5,872.25,21.4249997139,30.1999998093,0.761591876763
93,2004-03-14,15:00:00,1.9,1257.75,99,8.16011292463,905.75,112.0,1081.25,107.0,1511.0,900.25,21.9250001907,28.9500002861,0.752458954569
94,2004-03-14,16:00:00,3.0,1457.75,150,11.8673583229,1045.0,170.0,973.75,129.0,1646.0,1098.5,22.2249999046,28.3999996185,0.751627324119
95,2004-03-14,17:00:00,2.9,1437.75,156,12.0330047451,1050.75,180.0,942.5,128.0,1667.5,1206.25,21.2999997139,30.75,0.769615491914
96,2004-03-14,18:00:00,2.5,1477.75,122,12.1633233067,1055.25,160.0,929.25,121.0,1670.75,1262.25,19.6500000954,36.6999998093,0.83070613185
97,2004-03-14,19:00:00,4.6,1807.5,262,20.5717148773,1312.25,261.0,753.25,157.0,1992.75,1697.75,18.3749995232,41.7250003815,0.873195770558
98,2004-03-14,20:00:00,5.9,1898.0,341,23.1421258053,1381.25,325.0,680.5,173.0,2102.75,1904.75,17.625,46.0999994278,0.920953536058
99,2004-03-14,21:00:00,3.4,1559.5,214,14.7204534098,1139.75,217.0,783.75,146.0,1817.5,1648.0,16.6500000954,49.5750007629,0.931990047325
100,2004-03-14,22:00:00,2.1,1324.25,100,9.00419924732,939.5,146.0,923.5,121.0,1587.0,1422.75,16.25,50.9500007629,0.934147213162
101,2004-03-14,23:00:00,2.2,1348.75,79,8.83888507899,933.0,152.0,933.0,119.0,1616.5,1348.75,14.7250001431,55.9250001907,0.931385622492
102,2004-03-15,00:00:00,1.8,1238.75,66,7.35756037488,872.25,104.0,985.0,99.0,1546.5,1250.25,14.8250000477,54.6750011444,0.916354325468
103,2004-03-15,01:00:00,1.8,1239.0,73,6.91820721622,853.25,106.0,1010.25,93.0,1543.25,1173.75,14.0499999523,57.0,0.909448936766
104,2004-03-15,02:00:00,1.8,1223.75,66,6.95819119578,855.0,108.0,998.25,88.0,1565.75,1148.75,13.3500001431,61.3499994278,0.936085703142
105,2004-03-15,03:00:00,1.1,1078.25,44,4.42986293048,734.0,-200.0,1128.25,-200.0,1486.75,1020.5,12.5999999046,63.4749994278,0.9230174219
106,2004-03-15,04:00:00,-200.0,1077.5,44,3.99592429292,710.5,66.0,1150.0,71.0,1467.5,1012.75,12.3499999046,65.3500003815,0.935112286576
107,2004-03-15,05:00:00,1.0,1074.5,39,3.86591433757,703.25,88.0,1155.75,74.0,1463.75,1010.0,11.8999998569,67.4499988556,0.937538176934
108,2004-03-15,06:00:00,1.4,1156.75,51,6.38532009008,829.5,138.0,1029.5,80.0,1584.0,1083.0,11.375,70.5249996185,0.947516224338
109,2004-03-15,07:00:00,2.2,1314.0,107,9.68504680652,965.75,228.0,896.75,89.0,1710.25,1234.75,11.3249998093,70.2000007629,0.940095096018
110,2004-03-15,08:00:00,5.5,1796.75,336,25.870457661,1451.0,360.0,652.0,114.0,2323.0,1679.5,12.4000000954,63.8750009537,0.916954694148
111,2004-03-15,09:00:00,8.1,1961.25,618,36.6920625307,1701.0,478.0,536.75,149.0,2665.25,2184.25,14.7749998569,54.3249998093,0.907609536042
112,2004-03-15,10:00:00,5.8,1770.5,438,26.6360247644,1470.0,394.0,621.5,157.0,2261.5,1973.0,17.4000000954,45.6499996185,0.899298170647
113,2004-03-15,11:00:00,4.2,1563.5,334,20.1109230934,1299.5,319.0,709.75,155.0,2029.0,1798.25,19.8000001907,38.5250005722,0.880059991387
114,2004-03-15,12:00:00,3.1,1430.0,221,14.0964857999,1119.75,201.0,830.5,134.0,1783.25,1522.0,22.0250000954,34.0500001907,0.890368518813
115,2004-03-15,13:00:00,2.9,1417.25,207,14.9257192296,1146.25,171.0,829.5,119.0,1830.5,1404.0,23.3249998093,32.1749992371,0.909599219567
116,2004-03-15,14:00:00,2.9,1400.25,191,15.4361414715,1162.25,159.0,838.25,111.0,1828.5,1263.25,23.875,29.9750003815,0.875658528812
117,2004-03-15,15:00:00,2.5,1317.25,185,12.0908502188,1052.75,153.0,926.0,104.0,1706.75,1137.0,24.4499998093,28.9000000954,0.873591912398
118,2004-03-15,16:00:00,2.3,1317.75,141,11.5248202424,1033.0,143.0,949.75,99.0,1675.0,1068.0,24.375,29.3999996185,0.88476171172
119,2004-03-15,17:00:00,2.8,1445.25,214,14.7598334717,1141.0,156.0,856.5,110.0,1823.5,1251.5,23.8499999046,31.3250007629,0.913735211109
120,2004-03-15,18:00:00,6.1,1917.0,471,32.1488436795,1600.5,314.0,631.25,162.0,2447.0,1843.25,22.5499992371,35.3750009537,0.954699820747
121,2004-03-15,19:00:00,8.0,2039.75,685,39.2023396793,1754.25,404.0,542.25,187.0,2679.0,2122.25,20.4250006676,42.5,1.00863133411
122,2004-03-15,20:00:00,6.5,1894.75,538,30.9613050605,1573.25,320.0,565.0,165.0,2442.75,1991.5,18.2750000954,52.6250009537,1.09451809331
123,2004-03-15,21:00:00,4.2,1594.5,319,19.8956214633,1293.5,256.0,678.25,145.0,2057.5,1707.0,16.6500000954,57.375,1.07862689142
124,2004-03-15,22:00:00,3.2,1438.5,224,15.3158550496,1158.5,193.0,764.25,125.0,1856.25,1494.25,15.6999998093,60.1500005722,1.06537155496
125,2004-03-15,23:00:00,1.4,1141.5,67,6.89540334724,852.25,89.0,1008.25,101.0,1547.25,1164.25,15.2500002384,61.4499988556,1.05795549908
126,2004-03-16,00:00:00,2.1,1303.66666667,155,11.1399291688,1019.33333333,127.0,852.333333333,103.0,1731.33333333,1271.66666667,14.0666666031,65.6999994914,1.0493724031
127,2004-03-16,01:00:00,1.2,1074.25,49,5.40550061636,783.5,79.0,1097.75,88.0,1483.0,1039.75,14.8250000477,60.5500011444,1.01481946583
128,2004-03-16,02:00:00,0.8,968.0,29,2.81068803712,640.0,43.0,1319.5,61.0,1385.75,866.75,14.75,59.2249994278,0.987908110782
129,2004-03-16,03:00:00,0.7,929.25,25,2.32506154715,607.5,-200.0,1375.5,-200.0,1364.25,825.75,13.6249997616,62.0500001907,0.963554995618
130,2004-03-16,04:00:00,-200.0,941.0,25,2.58917830277,625.5,59.0,1315.75,59.0,1373.25,839.75,12.3249998093,66.1500005722,0.945036195197
131,2004-03-16,05:00:00,0.6,937.0,17,2.00874263452,584.75,38.0,1411.5,52.0,1348.0,792.5,12.75,63.2250003815,0.928289804021
132,2004-03-16,06:00:00,0.9,1017.0,27,3.48268932512,681.25,82.0,1245.75,64.0,1417.5,869.5,11.1749999523,68.4750003815,0.908107123102
133,2004-03-16,07:00:00,1.3,1171.25,50,5.13123218069,770.0,99.0,1161.75,70.0,1466.75,930.0,10.9750001431,66.5,0.870522949598
134,2004-03-16,08:00:00,3.4,1541.0,218,16.1744570492,1185.0,263.0,770.0,97.0,1888.75,1406.5,11.6749999523,63.6500005722,0.871936587707
135,2004-03-16,09:00:00,3.7,1539.25,285,19.6634938564,1287.0,229.0,697.5,95.0,2054.75,1507.0,13.625,56.2999992371,0.874265047177
136,2004-03-16,10:00:00,5.3,1734.75,437,25.0551503034,1430.5,396.0,628.25,150.0,2211.0,1843.25,17.8249993324,42.875,0.867225463172
137,2004-03-16,11:00:00,4.1,1571.0,327,20.0031487829,1296.5,314.0,730.0,162.0,1972.75,1729.0,21.4499998093,33.3249993324,0.841671295824
138,2004-03-16,12:00:00,3.3,1451.75,283,18.3470575766,1249.5,217.0,775.5,154.0,1868.25,1583.25,24.375,27.3500003815,0.823069165545
139,2004-03-16,13:00:00,4.0,1579.0,366,22.3085829757,1359.25,252.0,724.0,161.0,1997.75,1670.75,25.2500004768,26.0750002861,0.826380755246
140,2004-03-16,14:00:00,3.8,1466.25,318,20.4447799793,1308.75,263.0,772.5,161.0,1897.0,1491.25,25.8250002861,23.1500000954,0.758936963088
141,2004-03-16,15:00:00,2.8,1279.75,228,14.6104279604,1136.25,180.0,892.75,128.0,1675.25,1239.75,27.0,20.2000002861,0.709361513029
142,2004-03-16,16:00:00,2.9,1407.0,201,16.5532543441,1196.5,184.0,905.25,129.0,1758.75,1313.0,28.2499995232,18.5749998093,0.701385738834
143,2004-03-16,17:00:00,2.9,1388.75,199,15.7831830968,1173.0,190.0,898.25,133.0,1739.0,1363.25,27.9749999046,19.1000003815,0.709825085363
144,2004-03-16,18:00:00,3.4,1447.25,237,17.8399477764,1234.75,184.0,858.75,139.0,1778.0,1295.75,23.9000000954,25.6999998093,0.751891040812
145,2004-03-16,19:00:00,3.9,1551.0,261,19.0970593372,1271.0,181.0,800.25,137.0,1874.5,1432.25,21.3499999046,34.7749996185,0.872993133386
146,2004-03-16,20:00:00,3.2,1473.5,230,15.7669687205,1172.5,166.0,854.25,143.0,1776.0,1431.75,20.4250001907,36.6750001907,0.870389489318
147,2004-03-16,21:00:00,5.1,1799.5,349,24.8776718706,1426.0,317.0,700.0,177.0,2105.5,2033.5,19.0250000954,41.3499994278,0.900730730883
148,2004-03-16,22:00:00,2.6,1379.25,183,13.5296047307,1101.25,184.0,817.5,138.0,1710.0,1601.75,17.9250001907,45.9000005722,0.934186045022
149,2004-03-16,23:00:00,1.7,1200.5,88,9.08734562657,942.75,130.0,935.0,117.0,1559.75,1361.75,16.7000002861,48.9250001907,0.922649925527
150,2004-03-17,00:00:00,1.7,1204.75,85,8.63094701114,924.75,132.0,922.0,107.0,1546.5,1314.25,15.5249998569,52.9250001907,0.927128229788
151,2004-03-17,01:00:00,1.2,1071.5,47,5.41577546769,784.0,95.0,1065.5,90.0,1441.75,1113.75,15.4750001431,51.875,0.905875280405
152,2004-03-17,02:00:00,0.9,997.75,34,4.05025697922,713.5,70.0,1169.25,79.0,1383.25,991.5,14.125,55.5750007629,0.890955805621
153,2004-03-17,03:00:00,0.7,933.25,26,2.58167858149,625.0,-200.0,1291.5,-200.0,1331.5,883.75,13.0500001907,57.9000005722,0.866633008205
154,2004-03-17,04:00:00,-200.0,882.75,17,1.8989345906,576.5,54.0,1396.0,60.0,1303.25,808.25,12.6500003338,57.9000005722,0.844660352882
155,2004-03-17,05:00:00,0.5,868.75,11,1.60682825754,553.5,28.0,1459.5,40.0,1267.75,667.0,11.8249998093,58.0250005722,0.802631932116
156,2004-03-17,06:00:00,0.5,890.75,18,1.89564821439,576.25,46.0,1416.5,53.0,1289.25,733.0,11.9000000954,57.3999996185,0.797845704087
157,2004-03-17,07:00:00,1.6,1172.75,84,7.48688871524,877.75,160.0,1038.0,84.0,1556.25,1051.75,9.90000009537,65.1999998093,0.795645557063
158,2004-03-17,08:00:00,4.1,1587.25,260,21.3587914678,1333.75,320.0,702.25,108.0,1998.75,1533.5,11.125,60.2000007629,0.795775686798
159,2004-03-17,09:00:00,6.6,1851.5,534,36.4484129678,1695.75,377.0,552.75,127.0,2535.25,1931.0,14.1249997616,50.0249986649,0.801980417428
160,2004-03-17,10:00:00,4.3,1521.5,368,21.2666240959,1331.25,280.0,702.5,134.0,2025.75,1733.75,17.6999998093,40.0999994278,0.804829145344
161,2004-03-17,11:00:00,2.9,1438.25,200,15.3879787634,1160.75,221.0,818.5,135.0,1781.5,1595.0,21.1000003815,33.4250001907,0.826486216137
162,2004-03-17,12:00:00,2.5,1393.25,145,12.4990742249,1066.75,210.0,905.0,142.0,1654.25,1489.75,24.3000001907,28.2750005722,0.847127690474
163,2004-03-17,13:00:00,2.8,1452.0,188,15.1083097465,1152.0,204.0,860.5,153.0,1747.0,1507.5,25.5750002861,25.5500001907,0.825394882928
164,2004-03-17,14:00:00,2.6,1389.25,152,13.7352900541,1108.0,161.0,886.5,123.0,1711.5,1334.0,25.8500003815,25.9000000954,0.850339342579
165,2004-03-17,15:00:00,2.0,1207.0,103,10.4344740653,993.75,135.0,1013.0,104.0,1519.5,1044.75,26.8249998093,18.6999998093,0.650017745071
166,2004-03-17,16:00:00,2.9,1365.25,193,15.1640685521,1153.75,186.0,939.5,129.0,1678.5,1221.25,29.2750000954,15.7500002384,0.630890454462
167,2004-03-17,17:00:00,2.5,1247.0,134,12.3088230185,1060.25,147.0,1032.0,114.0,1524.75,1068.5,28.5,14.9000000954,0.570801909228
168,2004-03-17,18:00:00,5.0,1556.75,386,26.9510250139,1477.75,299.0,793.0,158.0,1980.5,1568.5,25.8500003815,15.9500002861,0.5236645833
169,2004-03-17,19:00:00,7.6,1972.5,577,38.3932461108,1737.25,411.0,616.75,194.0,2413.75,2305.5,23.125,26.5,0.74026061041
170,2004-03-17,20:00:00,6.7,1974.75,523,35.1036312781,1666.5,347.0,596.75,182.0,2415.5,2358.5,20.5249996185,38.2499990463,0.913314176821
171,2004-03-17,21:00:00,5.7,1794.75,472,27.2471308266,1485.0,336.0,652.5,180.0,2174.0,2050.0,19.0500001907,42.6000003815,0.92938770387
