"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Burundi","BDI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3744822","4.49703909","4.11362695","4.50070122","4.39141864","4.97839061","4.96067407","5.15367588","5.24840706","7.10205754","9.83776739","11.49013252","10.02676743","7.85946357","6.96418727","8.82066864","8.57801472","8.20755375","8.03161378","7.53556539","","",
"Belgium","BEL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.61132513","7.91027712","7.76548243","7.88649843","8.07696011","8.12059728","8.29205205","8.46176755","9.30359795","9.32102699","9.24428757","9.17112797","9.25207442","9.59842645","10.39434014","10.16564067","10.42349563","10.53975001","10.57290301","10.5947509","","",
"Benin","BEN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.69268216","4.58649677","4.31179803","4.38570981","4.58684538","4.33873071","4.68672761","4.27443185","4.63066141","4.56185468","4.73384847","4.75046608","4.54583981","4.19564004","4.46430984","4.94824039","5.36875255","4.85686602","4.59205377","4.59429651","","",
"Burkina Faso","BFA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.90774616","5.13518327","5.12841993","5.26031651","5.26786301","5.05909906","4.85203751","5.26139343","5.60978869","6.45328338","6.87238586","6.57889926","6.62938957","6.76855996","7.40543097","7.17005016","5.16945672","5.32688534","5.91240213","4.96026323","","",
"Bangladesh","BGD","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.22157662","2.96373618","2.25028592","2.25182094","2.29318008","2.32679549","2.46995061","2.59288743","2.51003846","2.61548602","2.67725039","2.79623022","2.79895606","2.84653391","2.90958368","3.06355993","3.155874","3.08120807","2.88285726","2.81899856","","",
"Bulgaria","BGR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.75327488","4.57258827","4.74160776","4.66878135","5.85566877","6.06955519","7.23446648","7.40609292","7.43475437","7.08595529","7.07978092","6.6734753","6.41034419","6.61156197","6.77819389","7.24456053","6.88297734","7.10569778","7.93021922","8.44291326","","",
"Bahrain","BHR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11287292","4.03746857","4.34798137","4.31625384","4.18890934","3.50896583","3.79531921","3.89413936","3.73972896","3.36600777","3.15804988","3.07675509","3.07767478","3.16848651","3.786504","3.63764959","3.40195337","4.36591164","4.68637938","4.98079638","","",
"Bahamas, The","BHS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8503937","6.91604323","5.55011883","5.58609619","5.23029011","5.20817529","5.14618628","5.25568411","5.6180021","6.02453452","5.95416502","6.93251788","7.07559268","7.3029743","7.4319201","7.43658423","7.63371738","7.43010401","7.04554853","7.74236489","","",
"Bosnia and Herzegovina","BIH","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.02980068","10.22157282","8.12932882","8.14897906","8.90972456","7.08827392","7.16021767","7.01047901","7.9408288","9.0438333","8.49615182","8.28337432","8.37007608","8.58190329","9.64051655","9.57831611","9.71201831","9.9397549","9.46431161","9.57201597","","",
"Belarus","BLR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.74025354","6.23562466","6.59252515","5.95665774","6.16338326","6.12884845","6.62474592","6.47012421","6.58928033","6.58678934","6.88634578","6.33679804","6.43772703","5.94918995","6.08504113","5.55420409","4.92365904","5.00822363","6.07206556","5.68772158","","",
"Belize","BLZ","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.24602899","3.63127017","3.92015182","3.79614802","3.66693481","3.97615331","4.50244268","4.37927042","4.5348229","4.39392269","4.45271318","4.40074319","4.76058357","5.09281839","5.80764478","5.84584806","5.60522062","5.45306037","5.79061965","5.78895004","","",
"Bermuda","BMU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.72938541","4.62820984","4.1695752","5.10001351","6.19650543","5.66983151","6.31154371","6.52937179","5.30411075","5.21561551","5.66626332","5.19483534","4.96364424","5.00221817","5.76173626","5.44301385","5.49176327","5.5569911","5.9649866","6.33482729","","",
"Brazil","BRA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.51076042","6.70694533","6.69245518","6.55967037","6.90990454","7.02774504","7.19063692","7.13005982","6.94296392","7.06793519","8.26702693","8.35570723","8.28058988","8.23798966","8.64909707","8.26736921","8.0901717","8.26089862","8.48312451","8.32283359","","",
"Barbados","BRB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.21222112","5.06553288","5.10668175","4.8775902","5.01105957","5.15515307","5.47182997","5.76189211","5.81503159","5.71254394","5.37770788","5.27479782","5.63907522","6.01496305","6.21396814","6.16899137","6.66975378","7.42925203","7.5687307","7.469303","","",
"Brunei Darussalam","BRN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.96502086","3.72384445","3.73573354","4.45519327","3.81591842","3.05392326","3.05915827","3.03624423","3.09075683","3.00570028","2.62469019","2.24345194","2.31773158","2.22944566","2.84871691","2.73321659","2.24592919","2.30071015","2.61249972","2.64816289","","",
"Bhutan","BTN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.97733171","6.31150093","7.3507957","7.23627296","6.93946877","6.91231672","5.91345001","7.75160507","4.9041054","4.40750213","5.28092275","5.26868823","5.87866065","6.57982434","6.02784218","5.17176159","4.73145771","3.70384573","3.82579516","3.57301481","","",
"Botswana","BWA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.07625751","4.03790507","4.29532105","3.85635148","3.74391572","4.64378253","5.72932944","6.47357061","4.64786115","5.55872796","5.62371187","4.92953585","4.71306526","5.55037104","6.38817073","5.64265217","5.24916763","6.27218857","5.83806784","5.41200262","","",
"Central African Republic","CAF","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.60367411","4.49230966","3.58946373","3.74819755","4.07258453","4.23554071","3.94971705","4.16499024","4.30920674","4.10144818","4.29009912","3.98872906","4.04420573","4.30491314","3.57683853","3.89743425","3.73272849","3.62284672","3.82208893","4.20022213","","",
"Canada","CAN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.86134848","8.63665594","8.60408832","8.82742133","8.72990945","8.66856172","9.09586921","9.36996095","9.54031491","9.55593893","9.57259884","9.75077613","9.834884","10.0314672","11.17309256","11.20113293","10.82129629","10.77921223","10.66516682","10.449582","","",
"Central Europe and the Baltics","CEB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.81846901864012","5.97055358015926","5.83228165689646","5.96668176574919","6.05839837479869","5.97843965759836","6.15876663264991","6.45292797151616","6.69432020826557","6.68561662886574","6.68909523333334","6.55877699099974","6.52886480246539","6.8383568201072","7.34768651698684","7.18895653882676","6.99039127264696","6.97265936748136","6.87845737906405","6.84417577925542","","",
"Switzerland","CHE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.33430835","9.71518238","9.66982037","9.84654167","10.00292799","9.90805016","10.28167391","10.60657136","10.933913","10.96120293","10.86294204","10.38772207","10.20985654","10.2889506","11.00053859","11.07054472","11.21213823","11.58918948","11.70740988","11.65926872","","",
"Channel Islands","CHI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.15357961","5.65542143","5.77650605","6.23410258","6.39504662","6.39554049","6.50868916","6.47573804","7.33944363","6.93393245","6.69119625","6.18107636","6.34524532","6.8683536","7.39252832","6.96860594","7.00457914","7.23794642","7.5312947","7.78585767","","",
"China","CHN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52548646","3.78557264","4.0245977","4.33385163","4.48787053","4.59690987","4.55782328","4.78507297","4.82123292","4.72284375","4.65846996","4.52241742","4.31833293","4.58905193","5.07535532","4.88633979","5.02886408","5.26451547","5.38570406","5.54822768","","",
"Cote d'Ivoire","CIV","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.36900793","6.74057936","7.06619884","7.29820334","6.52167773","6.00117587","4.84648676","4.46676932","4.65208666","5.23740268","5.3896073","5.87099688","6.34588449","6.20550231","6.41352727","6.32384065","6.42052546","6.14322312","5.80954361","5.71627357","","",
"Cameroon","CMR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86124181","5.16760946","4.64471655","4.42322257","4.43404241","4.47926062","4.70069873","4.86311777","4.97339975","4.73054345","4.75114245","4.68549975","4.75670352","5.17618655","5.06998858","5.28483734","3.96167517","4.33911457","4.29309731","4.10367158","","",
"Congo, Dem. Rep.","COD","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2506534","3.03382391","3.6186459","4.26378754","3.80431781","1.44624365","2.66685774","2.5871639","3.20376686","3.33995801","3.14461623","3.38568114","3.61073821","4.45778277","5.6131874","4.04297925","3.53486147","3.7652661","3.88677527","4.32823361","","",
"Congo, Rep.","COG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.16306069","2.86291491","3.09868108","3.73837716","3.06500203","2.12504959","2.43633674","2.45276459","2.61050747","2.55529589","2.42171832","2.3727083","2.53770363","2.08514176","2.26558576","2.29284845","2.79015169","3.97634646","5.09464112","5.15141136","","",
"Colombia","COL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75685008","8.16065798","8.95554088","8.72644655","8.67188966","5.90658511","5.96000372","5.66898945","5.92269295","5.37077635","5.8158366","6.1117047","6.25336641","6.61993597","7.01240715","6.75752454","6.63578902","6.93347013","6.8432","7.20129855","","",
"Comoros","COM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.61334969","4.48025047","4.49258244","4.04421255","3.8681088","3.55560015","2.85941954","3.38792052","3.64985651","3.95907616","4.31649402","4.57135897","4.93045333","5.13058242","3.8159446","5.82480352","6.09705013","7.10723668","6.50938357","6.74764314","","",
"Cabo Verde","CPV","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.28728442","4.82373976","4.73245519","5.23817847","4.64854913","4.81197137","5.18842561","5.17292778","4.99736722","5.06127652","4.85837167","5.11488034","4.30181632","3.96261016","4.24249163","4.8314955","4.5981957","4.60767994","4.29340629","4.75969597","","",
"Costa Rica","CRI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.51231532","6.65078699","6.35054774","7.13212144","6.83088785","7.12411021","7.24688126","8.22565685","8.44923734","7.79839004","7.73973795","7.8231858","8.36985934","9.00515369","9.68658882","9.65747228","9.72939981","9.55968402","9.4665247","9.31311229","","",
"Caribbean small states","CSS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.25088841839819","5.32347579972099","5.55802297424443","5.30588060008802","5.13917133875036","5.19220891440472","5.11972151215822","5.16793021328403","5.18398641312865","5.31358023648935","5.14025559374728","5.01412735827624","5.35679889817966","5.35940828723714","6.24411143720643","5.80941532574253","5.73422561207898","6.18492824378921","6.17254415221846","6.11407067351331","","",
"Cuba","CUB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.15194347","5.2563626","5.49944414","5.76999293","6.00381452","6.0657218","6.27017609","6.49530818","6.31477793","6.13763913","9.39424353","7.67119625","10.41968483","10.79330726","11.78167488","10.19428176","10.59691898","8.59069933","9.48202921","11.05880043","","",
"Curacao","CUW","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73555051","5.20546815","5.53045023","5.58342922","5.59747051","5.76878621","5.78263528","6.1236131","6.83046446","6.41800628","6.3690867","6.27810151","6.05253416","6.89217292","7.40220132","7.2339653","7.53731961","7.43887767","7.45866684","7.36761162","","",
"Czech Republic","CZE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6939823","6.4112513","6.40105384","6.41802925","6.34893158","6.31376242","6.42218784","6.79738309","7.13181689","6.90346859","6.93394326","6.69370303","6.522339","6.81889577","7.84539515","7.4318989","7.50106056","7.54794135","7.48649513","7.41091154","","",
"Germany","DEU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.43119261","9.91390845","10.03394379","10.04933602","10.04867111","10.10314295","10.15409317","10.39990223","10.61578862","10.37086787","10.51754561","10.34100073","10.1804053","10.39246762","11.40325491","11.25156004","10.93273699","10.99191973","11.16480314","11.29700067","","",
"Djibouti","DJI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.95089843","3.97202354","4.598152","5.45433438","6.21829622","5.75373964","5.37254273","5.44853384","6.2210856","6.7637107","7.21478463","7.05121762","7.72082465","8.04957964","8.37116146","8.84146484","8.71121911","8.94711732","9.13982602","10.56825612","","",
"Dominica","DMA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.85107017","5.86916299","5.99052114","5.7401763","5.7772693","4.67680993","4.61495217","4.71101985","4.58840093","4.31835019","4.5907974","4.54040177","4.66781159","4.54347143","5.259277","5.71976867","5.63311849","5.35510714","5.58003918","5.48583257","","",
"Denmark","DNK","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.12529118","8.21149933","8.15091135","8.15613412","8.95363968","8.69908954","9.10017962","9.33288751","9.50939145","9.67486939","9.7699606","9.92431629","9.98729401","10.18303034","11.47219769","11.08183797","10.86554541","10.9838191","11.24700751","10.80495696","","",
"Dominican Republic","DOM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2103532","5.01460052","5.26953146","5.44041106","5.66399715","5.90216851","5.59412454","5.78862837","5.53403296","4.28073586","4.26151651","4.34435286","4.34354051","4.19632994","4.41085261","4.06246968","4.21893383","4.26412797","4.11902833","4.37577756","","",
"Algeria","DZA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.70152453","3.34906968","3.59465773","3.59408178","3.43391495","3.48902094","3.83786516","3.73006375","3.60102674","3.54406326","3.23516801","3.35511843","3.82141191","4.20191141","5.35942501","5.11715468","5.29292834","6.14311272","7.12438268","7.20717804","","",
"East Asia & Pacific (excluding high income)","EAP","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.27287922556796","3.47608566420084","3.64494295977308","4.01846726380036","4.0719268296994","4.10354912707568","4.16092293650217","4.32103756281128","4.40360965775274","4.32786208786214","4.33818461267874","4.25680466462007","4.14106697420814","4.3467240083646","4.79332256286632","4.5932434586355","4.72005917666529","4.96890512904336","5.09475363413375","5.25696783315857","","",
"Early-demographic dividend","EAR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.71087605107855","4.57583668138727","4.755270997295","4.9764236040511","5.14129201126119","5.11497302937768","5.35066044377321","5.07751307623373","5.16932152205127","5.07543846000721","5.07802401243025","5.03692552016938","5.05921194302284","5.01600268015082","5.45606044204803","5.20677264957715","5.08807201796503","5.12081264842137","5.20646973251608","5.28374845876077","","",
"East Asia & Pacific","EAS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.84462894648378","5.68637497697968","5.82527049841024","6.15449892768626","6.38078966574615","6.49234717686604","6.55949701855427","6.55917757317968","6.67162606408365","6.65393672667739","6.64563159030784","6.48215097715758","6.29029508902089","6.48381171117232","7.02743819260167","6.85785648108922","6.98140873109929","7.07155924182007","6.90821228888812","6.88721817929573","","",
"Europe & Central Asia (excluding high income)","ECA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.85060570657882","5.01899634577104","5.86658714861215","5.27238807859685","5.37669307810587","5.29311931529467","5.51833102384299","5.7587748691019","5.69821172979522","5.52652496546669","5.54984647075156","5.60122259352922","5.67717093817676","6.11340553445446","6.81000976439965","6.40354339295376","6.14298757510348","6.32126164977878","6.47090170633563","6.42082496114797","","",
"Europe & Central Asia","ECS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.10477244219188","8.23167244078303","8.18936449210135","8.1794944759174","8.28337514921999","8.22639556542151","8.43157365742627","8.66926295413879","8.86973026463143","8.83782743608524","8.9109258820136","8.80959076703726","8.70664651865763","8.96893937562974","9.81238216268148","9.5559192323604","9.42731070142392","9.45979394486487","9.50538654462196","9.50198099330089","","",
"Ecuador","ECU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.39863636","3.7410135","3.71706789","3.57834839","3.80909529","3.3786467","3.85795035","4.61526692","6.46381498","6.21729056","5.87295184","5.85722282","5.93693781","5.66029931","5.57500385","5.9021487","5.9151677","6.47936086","7.28688971","9.16108824","","",
"Egypt, Arab Rep.","EGY","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.53650574","3.8968055","4.6100914","4.92653751","5.2573956","5.55075125","5.75054527","5.96959135","5.41204355","5.21090557","5.06260429","5.23956984","4.95043355","4.81986313","5.0088987","4.79725822","5.03966667","5.29360162","5.46252124","5.64211505","","",
"Euro area","EMU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7134224494632","8.86595064422511","8.87006631713856","8.85516701186936","8.87069393616652","8.89294497589957","9.01244522994955","9.22555961832161","9.43324395541395","9.45593973314276","9.63339221067056","9.56126091355998","9.45405700142165","9.73814900448981","10.4926095635389","10.4119780721731","10.3235598091214","10.4022474215085","10.4411118236747","10.4446625485016","","",
"Eritrea","ERI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.52377069","3.61207708","4.19876947","4.4842092","5.00556026","4.43459367","3.94880121","4.022588","3.50246439","3.14235447","2.96792167","3.29897088","3.29157461","3.68846683","3.30193937","3.24031896","3.06088999","2.97641275","3.0122195","3.33829318","","",
